형태소,품사,분류,카운트
되십니까,Verb,박명수,1
되어,Verb,정준하,2
되었습니다,Verb,정준하,1
되었습니다,Verb,정형돈,1
되죠,Verb,노홍철,1
된,Verb,김태호,1
된,Verb,노홍철,1
된거,Noun,박명수,1
된다는,Verb,길,1
될,Verb,정형돈,1
될까,Verb,길,1
됩니까,Verb,유재석,2
두,Determiner,유재석,1
두,Modifier,박명수,2
두,Modifier,정형돈,1
두,Noun,노홍철,1
두,Noun,박명수,1
두,Noun,유재석,2
두번째,Noun,박명수,1
두운,Noun,최단비,1
둘,Noun,박명수,1
뒤,Noun,정형돈,1
뒤끝,Noun,정준하,1
드높이는,Verb,노홍철,1
드라마,Noun,노홍철,1
드려고,Verb,길,1
드려도,Verb,길,1
드리겠습니다,Verb,길,1
드리는,Verb,박명수,1
드리는데,Verb,정준하,1
드릴게요,Verb,장진영,1
드립니다,Verb,정준하,1
드립시다,Verb,박명수,1
듣고,Verb,노홍철,1
듣지,Verb,길,1
들,Suffix,길,2
들,Suffix,노홍철,2
들,Suffix,박명수,5
들,Suffix,유재석,4
들,Suffix,장진영,1
들,Suffix,정준하,1
들,Suffix,정형돈,5
들,Suffix,최단비,1
들,Verb,박명수,1
들,Verb,정준하,1
들고,Verb,기자들,1
들고,Verb,김태호,2
들고,Verb,노홍철,1
들어,Verb,노홍철,1
들어,Verb,유재석,1
들어가,Verb,정준하,1
들어가시던데,Verb,유재석,1
들어오는,Verb,길,1
들어오지,Verb,김태호,1
들어와서,Verb,박명수,1
들어와서,Verb,정형돈,1
들어왔습니까,Verb,박명수,2
들어왔습니다,Verb,박명수,1
들어왔었습니다,Verb,길,1
들었거든요,Verb,정준하,1
들었다잖아,Verb,정형돈,1
들었어,Verb,모두,1
들었을,Verb,김태호,1
들었을,Verb,최단비,1
들은,Verb,김태호,1
들은,Verb,정준하,1
등,Noun,유재석,1
등,Noun,최단비,1
따라,Verb,김태호,1
따지면,Verb,박명수,1
딱,Adverb,정형돈,1
딱히,Adjective,노홍철,1
딴,Verb,박명수,1
딴,Verb,정준하,1
때,Noun,길,1
때,Noun,김태호,8
때,Noun,노홍철,5
때,Noun,박명수,1
때,Noun,유재석,2
때,Noun,정준하,3
때,Noun,정형돈,4
때,Noun,최단비,2
때린건,Verb,박명수,1
때문,Noun,노홍철,1
때문,Noun,박명수,1
때문,Noun,유재석,2
때문,Noun,정준하,1
때문,Noun,정형돈,4
때문,Noun,최단비,1
땡큐,Noun,정형돈,1
떄,Noun,정준하,1
떠는,Verb,노홍철,1
떠보니까,Verb,김태호,1
떠오르는,Verb,노홍철,1
